,star_point,title,text,helpful,contributions,Date of experience,reviewer_address
0,5.0,Library in a shopping mall,"This is a very large free library located in the center of Coex shopping mall.  Many people sit at the tables, reading, studying or viewing one of the speakers giving a presentation.",2,34, July 2019,"Seoul, Seoul, South Korea"
1,4.0,Fantastic Library,"I purposely looked for Starfield Library in COEX Mall as I really wanted to see the place in person. Fantastic! That's the right word for me - tall shelves with sooo many books to browse. The library also has tables, chairs and lamps that encourages you to read and relax. Coffee",11,51, February 2020,"Metro Manila, Philippines"
2,4.0,Book Heaven (If You Read Korean),"It's a big library with a great atmosphere, although I don't think this place would be great for studying or even reading as it can be a bit too noisy for some. All the books are in Korean (duh...) and I found it hard to look for a single English book. But they have a great",15,105, January 2020,"Jakarta, Indonesia"
3,4.0,v. good place to visit,"see and feel new experience of  library in Seoul , v. easy to reach there and not only book you can read but also provide shopping mall close to this place / good to visit it ",2,43, January 2020,"Bangkok, Thailand"
4,5.0,Very Impressive Library in the Heart of a Mall.,"The Starfield Library, which is pretty and impressive and beautiful. Two floors library with lots of colors and places to eat. Basically the only highlight of the Starfield COEX Mall which is pretty average.  Still at the bottom of the library you will find adults posing with",417,"3,476", January 2020,"Ferrara, Italy"
5,5.0,Beautiful library,It's worth a visit to see the high stacks of books. Beautiful design and you can wander COEX mall after.,11,16, January 2020,"Minneapolis, Minnesota"
6,4.0,"Impressive library, aesthetically pleasing!","We took the subway to Samseong station (Line 2) to check out the COEX mall.  The mall is huge, with an aquarium, so it took us a while to find the Starfield Library.  It is located opposite the Kakao Friends' store, and when you walk in, it was impressive.  Not sure how",24,99, January 2020,"Vancouver, Canada"
7,5.0,Very interesting and free,"The former food court has become a public library. It's a good place to take a look, read a book or relax. Many locals and foreign visitors. And it wasn't that crowded. There are free e-books, too.",547,"5,724", January 2020,"Seoul, South Korea"
8,4.0,Different and beautiful ,"I love that the library is in a huge mall and that it’s full of people taking pictures and enjoying it.  I’m a huge library fan.  I like quiet stacks too, but this is different and beautiful.",14,124, December 2019,"Singapore, Singapore"
9,5.0,Library Popular with Photographers,The Starfield Library is very photogenic with its 2 story bookshelf so it attracts a lot of photographers.  We took the Subway (green line) to Samseong Station.  Look for the exit for COEX and you will find the library.  The library is inside a big mall with lots of other shops,894,"5,187", January 2020,"Houston, Texas"
10,5.0,Fantabulous Library ☺️☺️☺️,A wonderful place for reading and catching up some knowledge that feeds the mind. A place to have some quiet time to spend and reflect and resetting goals for 2020. An amazing huge library full of thousands of books with amazing people around having the same thoughts and mind to,73,"4,152", January 2020,"Petaling Jaya, Malaysia"
11,5.0,Wonderful space to visit for a few hours,"This place has got to be one of the most lovely and unexpected spaces to find in a shopping mall. Located in the huge mall on the main Gangnam boulevards, this Staffield Library is the focal point of one section of the mall, towering nearly 3 storey. The cafe located amongst all",32,193, November 2019,"Penang Island, Malaysia"
12,4.0,Who’d a known?!,The COEX mall where this is found isn’t that interesting. But the signage that directs you to the Starfield Library keeps you on track to a pretty cool and unique landmark. ,77,384, November 2019,"Mississauga, Canada"
13,4.0,Library in a bustling shopping mall!,What a great idea to place a library in a bustling shopping mall. A must visit place if you are fancy taking extraordinary picture for your Instagram. ,1,8, October 2019,"Kuala Lumpur, Malaysia"
14,4.0,Nice and Big Library,"We were just be there to take photo as all the books are majority korean language.  Opposite the mall is Beomosa, there is walking distance but nearby.",27,88, October 2019,"Melaka, Malaysia"
15,3.0,Over-rated,It's too crowded with tourists who are just taking photos there. Pity those people who really needed a place to do their work,2,9, October 2019,"Singapore, Singapore"
16,5.0,Looks like something out of Harry Potter!,This was so not what I was expecting to find in the middle of a shopping mall - an enormous beautifully laid out library full of people of all ages browsing a reading rather than being on their phones. Amazing!,77,267, September 2019,"London, United Kingdom"
17,3.0,A little noisy.,"It was too crowded with people taking pictures, and noisy. It's an open area library with cafes around. The ambience wasn't my cup of tea and I was only here to take pictures.",23,22, October 2019,"Bali, Indonesia"
18,5.0,Every mall should have one!,"Wonderful resource in the middle of the mall.  For non-Korean readers, the offerings are a bit limited as most of the books are in Korean.  Nevertheless, there is a great selection of English magazines.  Very enjoyable to sit, people watch and take photos (which is what most",97,266, September 2019,"Makati, Philippines"
19,4.0,Really entertaining for people watching,"I wouldn't quite call this a must-see attraction. As a library - it's pretty, but it's not particularly large. Also all the books are in Korean (no surprise).  What makes it more appealing is how comfortable the surroundings are (you can grab a comfortable chair, and there's a",62,503, October 2019,NYC
20,4.0,Picturesque Library ,"This is a unique library in the middle of a mall and convention center. Not sure how functional it is, but it makes a unique spot in the mall. ",537,"2,139", October 2019,"Cincinnati, Ohio"
21,4.0,Bright open and airy space (except for the noise!),"Situated in an upmarket shopping Mall (Coex), it seems an odd place to place a public library. It's definitely noisy and not the greatest place for a library. The upper levels are definitely better for reading and all the seats and desks are occupied most of the time. However,",9,21, October 2019,"Sydney, Australia"
22,4.0,If in the area walk in,"This place is impressive. I would not invest time to go there, but if by coincidence you are in the area (e.g. because of your hotel), walk in and sit down for some minutes on the upper level seats. ",10,11, October 2019,"Friedrichsdorf, Germany"
23,5.0,"Best photoshoot, library theme","This library is bright, looks fabulous and offers the best place to take photos with books. The location is very convenient for leisure and shopping. We did not browse the book lists though.",12,75, October 2019,"Hanoi, Vietnam"
24,4.0,Upscale mall,"It is inside the Starfield Mall which is an upscale one, easily accessible on Line 2.  If you are going to Gangnam anyway, it is worth going.  You will like to take some photo of the place and do some shopping in the mall, which is one of the best in the city.  There are a lot",19,50, October 2019,"Hong Kong, China"
