,name,suggest_time
0,GOTO Mall,
1,National Museum of Modern and Contemporary Art Seoul,
2,Seokchon Lake,
3,National Palace Museum of Korea,
4,Hongdae Art Market Free Market,
5,Poopoo Land,
6,Jungbu Market,
7,Seoullo 7017,
8,Seoul World Cup Stadium,
9,Seoul City Hall,
10,Seolleung & Jeongneung Royal Tomb,
11,Gwanghwamun Square,
12,Times Square Mall,
13,Lotte Department Store Main,
14,Seoul Central Mosque,
15,Samcheonggak,2-3 hours
16,63 City,
17,Dongdaemun History & Culture Park,
18,Stylenanda Pink Hotel Flagship Store,
19,COEX Center,
20,Alive Museum Insadong,1-2 hours
21,Seoul International Fireworks Festival,
22,Ihwa Mural Village,
23,Sinchon,
24,Dongdaemun Shopping Complex,
25,Statue of Sejong the Great,
26,Arario Museum in Space,1-2 hours
27,Seoul Arts Center,
28,Noryangjin Fisheries Wholesale Market,
29,Gocheok Sky Dome,
