,name,suggest_time
0,Seoul Botanical Garden,
1,Mangwon Market,
2,National Museum of Korean Contemporary History,
3,Express Bus Terminal Shopping Center,
4,Kyunghee University Seoul Campus,
5,Common Ground,
6,Yongma Land,
7,IFC Mall,
8,SRT,
9,Statue of Admiral Yi Sun-Sin,
10,Korea Furniture Museum,
11,Lotte World Folk Museum,
12,Lotte Outlets Seoul Station,
13,Garak Market,
14,Seoul Daehangno,
15,Grilled Fish Street in Dongdaemun Market,
16,Namsan Cable Car,
17,The War and Women's Human Rights Museum,
18,Hongdae NANTA Theatre,
19,Cheongwadae Sarangchae,
20,D-Cube City,
21,Seonyudo Park,
22,The Blue House (Cheong Wa Dae),1-2 hours
23,Jeongdong Theater,
24,Ewha Woman's University,
25,Sungnyemun Gate,
26,Hyundai Department Store Apgujeong Main,
27,Banpodaegyo Bridge,
28,COEX Center,
29,Museum Kimchikan,< 1 hour
