id,name,big_sort,small_sort,address,latitude,longitude,cluster,tags,star_info,star_rating,review_sample,wordcloud
1,Gyeongbokgung Palace,Sights & Landmarks,,"161 Sajik-ro, Jongno-gu, Seoul South Korea",37.5773616,126.976684,1.0,"[""traditional dress"", ""gard changing ceremony"", ""a few hours"", ""walk around"", ""free entry""]","{""5"":64.0,""4"":30.0,""3"":6.0,""1"":0.0,""2"":0.0,""avg"":4.58,""count"":298.0}",0.92,"{""neg"": [""Please don't go to Gyeongbokgung Palace hoping or expecting to find an equal of the Forbidden City, but I think you will find something equally as interesting although rather less dramatic in scale"", ""frankly i wasnt impressed much!If you skip it you wont miss much Huge and Massive""], ""pos"": [""The setting between mountains and the city is amazing and the juxtaposition of the palace to modern Seoul is stunning"", ""Guard changing ceremony (guards dressed in Korean traditional costumes) was a real pleasure to watch and gives you an opportunity to experience Korean tradition"", ""You can walk around the buildings at your own pace, and if you are wearing the national custom, entrance is free (you will see dressed up girls everywhere, another delight!)""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB138D0>
2,Bukhansan National Park,Nature & Parks,,"262, Bogungmun-ro, Seongbuk-gu, Seoul 02700 South Korea",37.612085,127.00825,1.0,"[""nature"", ""mountain"", ""a few hours"", ""easy to navigate""]","{""5"":83.0,""4"":15.0,""3"":2.0,""1"":1.0,""2"":0.0,""avg"":4.81,""count"":178.0}",0.96,"{""neg"": [""Just an average person with average stamina"", ""So hoping this review will be able to help anyone who is going at this time"", ""I am a 60 year old female and I made it with no mishaps other than some wobbly legs on the way down""], ""pos"": [""Would recommend making a day trip up to enjoy the fresh air:) Don't be fooled by the casual demeanour of the Korean hikers, and the neatness and cleanliness of their equipment"", ""It has beautiful steams along the trail and view from the peak is amazing!!What a place it is truly wonderful, the views are outstanding"", ""A lot of amazing trails to choose from to get up one of the many peaks""]}",
3,Myeongdong Shopping Street,Sights & Landmarks,,,37.5640907,126.99793999999999,1.0,"[""expensive"", ""restaurants"", ""crowded"", ""walk around"", ""reasonable"", ""a few hours""]","{""5"":56.0,""4"":34.0,""3"":9.0,""1"":0.0,""2"":0.0,""avg"":4.43,""count"":288.0}",0.89,"{""neg"": [""Avoid the restaurants though, the prices are high and quality not to the standard where you can find elsewhere"", ""There's also street stalls selling Supreme goods (fufu or fake, obviously) and food which can be quite expensive, in my opinion"", ""You will find cosmetics shops every step of the way and the face masks are at ridiculously cheap prices in packs""], ""pos"": [""Walking distance from Naemdaemun shopping, this area is full of fun street foods, little trendy skin-care and fashion shops, and lots of trendy, interesting, foreign foods"", ""The church is a must see as it is the first Catholic church built in Gothic style"", ""Myeongdong is more than a street is a place where you can see how Seoulians are living, shopping and entertaining""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB137B8>
4,Changdeokgung Palace,Sights & Landmarks,,"99, Yulgok-ro, Jongno-gu, Seoul 03072 South Korea",37.5800952,126.991849,1.0,"[""English"",""free guided tour"",""a few hours"", ""traditional dress"", ""walk around""]","{""5"":59.0,""4"":32.0,""3"":6.0,""2"":2.0,""1"":0.0,""avg"":4.44,""count"":298.0}",0.89,"{""neg"": [""English guides have time slots so make sure you know the schedule and be there on time"", ""The palace and its grounds are not just pretty to look at and for photography shoots but knowing its history makes the photos more meaningful""], ""pos"": [""If given a chance, secret garden tour is a must to visit where it was once a secret recreation place for the royalty"", ""You'll learn about Joseon dynasty and how princes and kings walked down the relaxing lane of greenery, and partly of their beliefs and traditions during the tour if you listen well to your guide"", ""Throughout the site visitor amenities are excellent This palace has definitely more buildings to visit than Gyeongbokgung, but here you do not have any change of guards ceremony to watch""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB13D30>
5,The War Memorial of Korea,Museums,,"29, Itaewon-ro, Yongsan-gu, Seoul 04353 South Korea",37.5362151,126.97776200000001,0.0,"[""Korean War"", ""a few hours"", ""free entry""]","{""5"":75.0,""4"":22.0,""3"":3.0,""1"":1.0,""2"":0.0,""avg"":4.72,""count"":293.0}",0.94,"{""neg"": [""Very impressive and full of facts about Korea in general but the Korean War especially"", ""We decide to take a slow walk from Itaewon to Namdaemon and come across this place"", ""I thought the memorial was about only the Korean War in the '50s, however, it is about all the wars Korea was envolver in""], ""pos"": ["" The museum is very interesting for all ages, there are a lot of vehicles (Tanks, cars, planes and even boats) displayed, a 3D experience and lots of other different multi-media expositions"", "" You could spend hours at this place as there's not only the indoor exhibition hall but stuff to see outdoor (eg memorial, planes/submarines)""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB13588>
6,National Museum of Korea,Museums,,"137 Seobinggo-ro, Yongsan-gu, Seoul 04383 South Korea",37.5246635,126.977727,0.0,"[""English"",""free guided tour,"", ""Korean War"", ""a few hours"", ""free entry"", ""restaurants"", ""walk around""]","{""5"":67.0,""4"":26.0,""3"":5.0,""2"":2.0,""1"":0.0,""avg"":4.58,""count"":298.0}",0.92,"{""neg"": [""This is probably not for everyone""], ""pos"": [""The interior of the building alone is worth a visit, and then it\u2019s the home of a wonderful collection"", ""We spent a lovely couple of hours observing the many exhibits, my favourite being the rooms containing a variety of buddhas from across Asia"",""This is a good place for someone who is wants to gain some basic knowledge of 20th century Korean history"", ""We thought the Museum shops were reasonably priced and far better quality than the tourist stuff for sale in Seoul generally"" ]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB13470>
7,Insadong,Sights & Landmarks,,"Insa-dong, Jongno-gu, Seoul South Korea",37.5716555,126.986232,1.0,"[""restaurants"", ""expensive"", ""a few hours"", ""walk around""]","{""5"":51.0,""4"":37.0,""3"":10.0,""2"":1.0,""1"":0.0,""avg"":4.34,""count"":298.0}",0.87,"{""neg"": [""Amongst the standard tourist souvenir shops are artesian art/ craft, tea, ceramics and house decore shops"", ""Check out the Ssamziegil complex, the painted stairwells, a park with a large stone pagoda and gallery of modern art if time allows""], ""pos"": [""Very interesting area located in Seoul in the streets that have cultural shops showing  videos on how they made pots"", ""A nice lively shopping area, where can enjoy shopping for souvenirs and other stuff based on local culture and traditions"", ""I would recommend to download the Kakao Metro app, great little app that tells you exactly which train to catch and when to get off for anywhere you want to go in Korea using the subway system""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB0AFD0>
8,Trickeye Museum Seoul,Museums,,"20, Hongik-ro 3-gil, Mapo-gu Seogyo Plaza B2, Seoul 04039 South Korea",37.5534532,126.9216835,3.0,"[""a few hours""]","{""5"":60.0,""4"":26.0,""3"":10.0,""1"":2.0,""2"":2.0,""avg"":4.39,""count"":292.0}",0.88,"{""neg"": [""Most of the people there are quite oblivious and will lack the common courtesy of letting you take a picture (they just walk in front of the camera)"", ""It's not easy to take photos by yourself or without a selfie stick, so take someone with you so they take take your photo while you pose"", ""It's really only for photo taking so if you're not a fan of having photos taken, then don't go, as it's not much fun only looking""], ""pos"": [""Came here with friends on a gloomy afternoon and had a lot of fun going through the exhibition!!All the rooms are differently themed and you can take some great AR pictures/ videos""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB0ADA0>
9,Lotte World Tower & Mall,Sights & Landmarks,,"300, Olympic-ro, Songpa-gu 117-123F, Lotte World Tower, Seoul 05551 South Korea",37.5129907,127.102732,2.0,"[""expensive"", ""restaurants"", ""great view"", ""walk around"", ""a few hours"", ""crowded""]","{""5"":60.0,""4"":26.0,""3"":11.0,""2"":3.0,""1"":1.0,""avg"":4.43,""count"":298.0}",0.89,"{""neg"": [""The skies had been clear blue when we entered the Mall but, unfortunately, by the time we emerged at the top, everything was rather misty and cloudy, hence our best photos came after the sun set""], ""pos"": [""Seoul Sky is located on the 117th ~ 123rd floors of Lotte World Tower - Sky Terrace - and is the 5th tallest building in the world"", ""There is also some discounts for senior citizen, do ask the counter staff at ticketing booth before paying""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB0AB70>
10,KTX (Korea Train Express),Transportation,,,37.566534999999995,126.97796899999999,1.0,"[""a few hours"", ""easy to navigate""]","{""5"":65.0,""4"":28.0,""3"":4.0,""2"":2.0,""1"":1.0,""avg"":4.54,""count"":298.0}",0.91,"{""neg"": [""They have half of the seat facing towards the way and another half sitting backwards"", ""Amenities are basic but that\u2019s okay because you are never on the train for long enough"", ""My one pet peeve is the lack of sitting room in Seoul station""], ""pos"": [""It is beter than trvelling by air,and cheaper , very comfortable so we strongly recomend using the KTX in S"", ""What a fast and efficient service, we could learn a lot from the way that they run their transport system"", ""300 kmh, smooth travel, comfortable seats and impeccable commitment to the timetable make the KTX train system one of the most efficient in the World""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB0A940>
11,Seoul Metro,Transportation,,,37.566534999999995,126.97796899999999,1.0,"[""crowded"", ""a few hours"", ""easy to navigate""]","{""5"":69.0,""4"":25.0,""3"":5.0,""1"":0.0,""2"":0.0,""avg"":4.59,""count"":298.0}",0.92,"{""neg"": [""The poor signage (in English and Korean) fails to clearly show where to go to get a train heading in the  needed direction"", ""We bought T-money cards from a vending machine at Seoul station (4,000 Won) then there were top up machines at every station (cash only)""], ""pos"": [""Very clean decks and cabinesA lot of information desk officersClear signs and state of the art Metro Good and efficient""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB0A710>
12,Hangang Park,Nature & Parks,,Seoul South Korea,37.566534999999995,126.97796899999999,1.0,"[""a few hours"", ""walk around"", ""great view""]","{""5"":53.0,""4"":34.0,""3"":11.0,""2"":2.0,""1"":0.0,""avg"":4.38,""count"":298.0}",0.88,"{""neg"": [""I was shocked how they developed their own city after Korean War and this area, definitely, you can feel the new Seoul as it-self"", ""Although quieter than the city, the air pollution from the adjoining Highway makes strolling along this path unenjoyable"", ""But, this park had something else (perhaps it was the proximity to water)""], ""pos"": [""The also have tennis courts, basketball courts, picnic area, camping areas, sitting areas, Nature trails, etc"", ""There were families camping out and kids were having a great time playing in the park and in the ponds"", ""Though Seoul is a big city with lots of buildings and traffic, it does have a lot of greenery and hills (I thought of Seattle or San Francisco) throughout the city that I loved""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB0A4E0>
13,N Seoul Tower,Sights & Landmarks,,"105, Namsangongwon-gil, Yongsan-gu, Seoul 04340 South Korea",37.5509473,126.989296,1.0,"[""great view"", ""mountain"", ""restaurants"", ""night view"", ""a few hours"", ""crowded""]","{""5"":45.0,""4"":41.0,""3"":12.0,""1"":1.0,""2"":1.0,""avg"":4.27,""count"":295.0}",0.85,"{""neg"": [""Besides the phenomenal number of love locks, the place can be quite disappointing if you have been to a couple of towers in famous cities"", ""Admittedly, there are very good views from the top of the tower but we thought there are much better places to visit than here, unless you've got plenty of time in Seoul"", ""There's other view point you can take a photo of the city instead of going up""], ""pos"": [""I went at night time and bought a 1 way ride to N tower, there was a kpop band doing a concert their which you got to watch for free, the views of seoul at night were amazing"", ""On a clear day, as the song says, \""I can see for miles and miles""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB0A2B0>
14,Namsan Park,Nature & Parks,,,37.5511694,126.988226,1.0,"[""mountain"", ""great view"", ""restaurants"", ""a few hours"", ""crowded"", ""night view""]","{""5"":52.0,""4"":39.0,""3"":8.0,""2"":1.0,""1"":0.0,""avg"":4.42,""count"":298.0}",0.88,"{""neg"": [""Skip the car that goes up and simply enjoy the view walking around if your hotel is near; otherwise skip altogether"", ""At the top, there are various facilities such as Palgakjeong (octagonal hall), Seoul Tower, Maritime Aquarium, fountains, and Namsan Library"", ""I took the cable car up since it was pretty cheap less than $10 round trip and I went in the evening""], ""pos"": [""It was a glorious, sunny autumnal day and the views of the city were wonderful"", ""You can take the cable car up to this landmark but it's more fun (if you're up for it) to walk up the zig zag path that leads to the top of this hill from which (on a clear day) you can see for miles""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAA2588>
15,Myeongdong NANTA Theater,Concerts & Shows,,,37.5635611,126.98368400000001,1.0,"[""expensive""]","{""5"":74.0,""4"":17.0,""3"":6.0,""2"":2.0,""1"":1.0,""avg"":4.6,""count"":255.0}",0.92,"{""neg"": [""I ended up arriving late and missing the first 10 minutes so I advise any tourists to leave yourself a lot of time in case you get lost like me!Once you finally do make it there though it\u2019s worth it"", ""It started out rather slow and I was a bit skeptical at first but once it got going it was fun"", ""I think its overprice, but its an extraordinary experience anyway!Great way to spend an evening in Seoul""], ""pos"": [""My husband and I thoroughly enjoyed watching, so funny and entertaining"", ""The percussion music was amazing, the delivery phenomenal, and the comedic action truly entertaining""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAA29E8>
